date,title,author,tags,url
2019-09-05,Piráti prosazují elektronické potvrzení o studiu,Mediální odbor,celostátní legislativa digitalizace,https://pirati.cz/tiskove-zpravy/prosazujeme-elektronicke-potvrzeni-o-studiu.html
2019-09-05,Garanční výbor podpořil zákon o právu na digitální služby,Mediální odbor,celostátní legislativa digitalizace,https://pirati.cz/tiskove-zpravy/zakon-o-pravu-na-digitalni-sluzbu-podporen-garancnim-vybore.html
2019-09-06,"Piráti: Směrnice o copyrightu je protiústavní. Piráti apelují na premiéra, aby se ČR připojila k polské žalobě k Soudnímu dvoru EU",Mediální odbor,autorské-právo copyright evropská-unie,https://pirati.cz/tiskove-zpravy/copyrightova-smernice-je-protiustavni-apelujeme-na-premiera-k-pripojeni-k-polske-zalobe.html
2019-09-12,Ministr kultury nehodlá ochránit ČR před cenzurou internetu,Mediální odbor,celostátní legislativa evropská-unie cenzura,https://pirati.cz/tiskove-zpravy/cenzura-internetu-zaoralek-odmita-pripojit-se-k-polske-zalobe.html
2019-09-18,"Vládní zákon o odpadech umožní vypínání zahraničních e-shopů, upozorňují Piráti",Mediální odbor,celostátní digitalizace legislativa vláda,https://pirati.cz/tiskove-zpravy/e-shopy-ze-zahranici-budou-moci-vypnout-urady.html
2019-09-20,"Podle Pirátů Vláda ČR ignoruje protiústavnost copyrightové směrnice, kterou podpořila v rozporu s názorem vlastních europoslanců",Mediální odbor,evropská-unie cenzura legislativa celostátní,https://pirati.cz/tiskove-zpravy/vlada-ignoruje-protiustavnost-smernice.html
2019-09-24,"Sněmovnu čeká série zákonů k digitalizaci či zásadní oprava zákona o státních zástupcích, uvedli na brífinku Piráti",Mediální odbor,celostátní sněmovna,https://pirati.cz/tiskove-zpravy/brifink-34schuze-pokracovani.html
2019-10-29,Komentář Ondřeje Profanta: Copyrightová směrnice ve Francii narazila na Google i Facebook,Mediální odbor,celostátní zahraničí evropska-unie autorské-právo,https://pirati.cz/tiskove-zpravy/ondrej-profant-komentar-copyrightova-smernice-ve-francii-narazila.html
2019-11-04,Vládní novela zákona o odpadech nepovede k vypínání zahraničních e-shopů. Před rizikem varovali Ministerstvo životního prostředí Piráti,Mediální odbor,celostátní legislativa vláda,https://pirati.cz/tiskove-zpravy/novela-o-odpadech-nepovede-k-vypinani-eshopu.html
2019-11-05,"Reforma exekucí, rodičovský příspěvek a zákon o digitální službě jsou prioritami Pirátů na jednání Sněmovny tento týden",Mediální odbor,celostátní piráti,https://pirati.cz/tiskove-zpravy/reforma-exekuci.html
2019-11-08,Sněmovna schválila digitální ústavu. Lidé získají právo komunikovat se státem přes internet,Mediální odbor,celostátní legislativa egov digitalizace,https://pirati.cz/tiskove-zpravy/zakon-o-pravu-na-digitalni-sluzbu-prosel-snemovnou.html
2019-11-28,"Netuší co, do kdy a kde na to vezme. Řešit má obsah, ne obal, kritizují Piráti premiéra za národní investiční plán",Mediální odbor,vláda sněmovna celostátní kontrola-moci-a-mocných,https://pirati.cz/tiskove-zpravy/nip-vlada-resi-obal.html
2019-12-02,Hřib: Jsem proti použití technologie face recognition pro městské kamery. Je pro městskou policii a k zajištění plynulosti dopravy. Ne Velkému bratrovi v čínském stylu,Zdeněk Hřib,informatika,https://praha.pirati.cz/hrib-proti-kamera.html
2019-12-03,Piráti požadují projednání auditní zprávy Evropské komise ke střetu zájmů na plénu Sněmovny,Mediální odbor,vláda sněmovna celostátní kontrola-moci-a-mocných,https://pirati.cz/tiskove-zpravy/auditni-zpravy-evropske-komise-na-projednani-plenu-snemovny.html
2019-12-04,Piráti: Bankovní identita nově poslouží pro snazší komunikaci se státem. Digitální technická mapa pak zjednoduší stavební řízení,Mediální odbor,vláda sněmovna celostátní digitalizace,https://pirati.cz/tiskove-zpravy/bankovni-identita-a-digitalni-mapa-prosla-snemovnou.html
2019-12-09,Kolaja: francouzský návrh zákona implementující směrnici o copyrightu je v rozporu se závěry Evropské komise,Mediální odbor,evropská-unie zahraničí autorské-právo cenzura,https://pirati.cz/tiskove-zpravy/smernice-o-copyrightu.html
2020-01-07,"Komentář Ondřeje Profanta: Program Digitální Česko – plány nechybí, výsledky ano",Ondřej Profant,vláda digitalizace,https://pirati.cz/tiskove-zpravy/digitalni-cesko-chybi-vysledky.html
2020-01-21,"Piráti představili plán na rozšíření pravomocí NKÚ, kritizovali slučování ministerstev a připomněli blížící se volbu do mediálních rad",Mediální odbor,sněmovna celostátní,https://pirati.cz/tiskove-zpravy/brifink-40-schuze.html
2020-01-21,"SFDI vědomě pochybil při vypsání zakázky na e-shop, dozorčí rada by měla být odvolána",Ondřej Profant,sněmovna celostátní doprava,https://pirati.cz/tiskove-zpravy/dozorci-rada-sfdi-pochybila.html
2020-01-22,"Piráti ke státním IT zakázkám: Selhání Kremlíka není ojedinělý případ, problematické zakázky mají i další ministerstva",Mediální odbor,sněmovna celostátní doprava,https://pirati.cz/tiskove-zpravy/it-zakazky-problemy-maji-i-dalsi-ministerstva.html
2020-01-27,Další krok k digitalizaci Česka: Balíček DEPO projednán vládou,Mediální odbor,vláda legislativa digitalizace,https://pirati.cz/tiskove-zpravy/cesko-digitalizace-balicek-depo.html
2020-01-30,"Komentář Ondřeje Profanta: Ministr Havlíček dnes přislíbil, že plošné šmírování kvůli dálničním známkám nebude",Ondřej Profant,vláda doprava,https://pirati.cz/tiskove-zpravy/komentar-profant-smirovani-na-dalnicich.html
2020-02-05,Zdeněk Hřib: Chceme plnou elektronizaci služeb města. S Ministerstvem vnitra projednáme možnosti zpřístupnění autentifikační služby státu samosprávám,Zdeněk Hřib,informatika praha,https://praha.pirati.cz/zdenek-hrib-nasim-cilem-je-plna-elektronizace-mesta.html
2020-02-11,"Piráti očekávají přijetí rozšíření pravomocí NKÚ a první čtení zákona, který umožní založit firmu za jediný den",Mediální odbor,sněmovna legislativa celostátní,https://pirati.cz/tiskove-zpravy/firma-za-jediny-den-nku-40schuze.html
2020-02-11,Sněmovna vrátila Pirátský návrh na založení firmy za jeden den,Mediální odbor,sněmovna legislativa digitalizace,https://pirati.cz/tiskove-zpravy/navrh-firma-za-den-neprosel.html
2020-02-27,"Ministr kultury zrušil podezřelou zakázku za 450 milionů, na kterou již v lednu upozornili Piráti",Mediální odbor,kultura digitalizace celostátní,https://pirati.cz/tiskove-zpravy/czechiana-projekt-za-450-milionu-zrusen.html
